Country,Happiness Score,Region,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI of household income reported in Gallup, by wp5-year"
Liberia,3.975,Sub-Saharan Africa,2019,3.971339941,6.62625281,0.684743861,55.29999924,0.754211823,0.07065582599999999,0.8786659840000001,0.654401859,0.445492238,0.601050158,-0.242874615,-0.990080982,0.603645821
Comoros,3.9730000000000003,Sub-Saharan Africa,2019,3.92231528,7.258244672999999,0.687451203,55.85333379,0.531299045,0.011879903,0.7254253629999999,0.675534328,0.240886827,0.40779270700000003,-0.46128624700000004,-1.20705694,0.476054539
Madagascar,3.9330000000000003,Sub-Saharan Africa,2019,3.9374310180000003,7.259213925,0.6794473129999999,58.69999949,0.56382213,-0.029723798,0.866859197,0.772410154,0.313702419,0.491473744,-0.31878981,-0.915625543,0.544693023
Lesotho,3.802,Sub-Saharan Africa,2019,3.801752806,7.934930325,0.783305467,46.94999886,0.742997527,-0.12780771800000001,0.769866407,0.73933366,0.262793288,0.652284086,-0.103186809,-0.356351927,0.633957654
Burundi,3.775,Sub-Saharan Africa,2019,3.775283098,6.541032791,0.484715223,53.40000153,0.6463986039999999,-0.019334173,0.598607659,0.6664415,0.362766594,0.725119889,-0.912845612,-1.01520884,0.6808127159999999
Zimbabwe,3.6630000000000003,Sub-Saharan Africa,2019,3.663393418,7.54723835,0.765986979,55.0,0.749490817,-0.058719322000000004,0.7730095579999999,0.7513943120000001,0.21477737,0.644166172,-0.9444012940000001,-1.362758636,0.573315263
Haiti,3.597,Latin America and Caribbean,2019,3.597031275,7.412532806000001,0.58956778,55.5,0.459812651,0.36427933,0.735386491,0.570084691,0.34925127,0.316346074,-0.736252785,-1.416586638,0.619205753
Botswana,3.488,Sub-Saharan Africa,2019,3.488394499,9.670534452,0.77716581,58.20000076,0.828874668,-0.257029722,0.755852918,0.690568805,0.26505760300000003,0.764246682,0.699341357,0.588387519,0.637481689
Syria,3.4619999999999997,Middle East and North Africa,2019,3.2898328830000003,8.307246207999999,0.49092113600000004,55.99111133,0.449740198,0.11208924699999999,0.6803911659999999,0.37333895799999994,0.638064557,,-2.40596056,-1.516438722,0.510044575
Malawi,3.41,Sub-Saharan Africa,2019,3.409329732,6.997570037999999,0.535855273,56.90000025,0.818906685,0.046926876,0.7747384709999999,0.5993571879999999,0.333907098,0.581950605,-0.11183132300000001,-0.64332816,0.600780646
Yemen,3.38,Middle East and North Africa,2019,3.37890164,7.299221039,0.784794648,55.90000025,0.560293635,-0.1256679,0.7925868629999999,0.461880356,0.279286017,0.274506455,-2.28497529,-1.6667938230000001,0.411379735
Rwanda,3.3339999999999996,Sub-Saharan Africa,2019,3.334136804,7.52761968,0.5992845489999999,60.5,0.91436096,0.04464092,0.17872285300000001,0.769279798,0.317297677,0.987707714,-0.573606521,0.264377184,0.6549068889999999
Tanzania,3.2310000000000003,Sub-Saharan Africa,2019,3.2316262719999997,7.893550078,0.672698875,57.0,0.7943741879999999,0.138402594,0.668129126,0.7234290640000001,0.24077571399999997,0.909182787,-0.385486946,-0.499750316,0.575050771
